"zip_code","avg_weighted_cost","Lat","Long"
60605,1.09721061078178e-08,41.867566,-87.617228
60607,2.25339574128205e-08,41.87493,-87.651596
60608,1.36176022640779e-08,41.84688,-87.670664
60609,6.9880764903175e-08,41.81268,-87.656935
60611,5.98636440698812e-09,41.8957,-87.613775
60612,5.3203003631159e-09,41.88032,-87.687749
60613,8.71640179474157e-09,41.956949,-87.654272
60614,6.16776108937137e-09,41.922714,-87.649577
60615,3.38275043090736e-08,41.801647,-87.596288
60616,2.43349956520407e-08,41.844883,-87.624032
60617,1.13777700220366e-08,41.718197,-87.552739
60618,2.91012086167439e-08,41.946962,-87.702548
60619,2.91159593774908e-08,41.74369,-87.605526
60620,4.06652134924782e-09,41.740497,-87.652558
60621,9.19816969588984e-09,41.776382,-87.639572
60622,6.53025299838249e-09,41.902172,-87.683337
60623,3.05813138939616e-08,41.848897,-87.717661
60624,4.50722060661424e-08,41.880504,-87.724444
60625,7.48150255031591e-09,41.973292,-87.700351
60628,2.82111076765941e-09,41.690875,-87.615773
60629,3.90184045750296e-09,41.775868,-87.711496
60630,1.07422079658644e-08,41.972071,-87.756569
60631,6.85142277108499e-08,41.994855,-87.813003
60632,3.4757408243378e-09,41.810166,-87.713252
60633,6.9199540654049e-07,41.663809,-87.56147
60634,1.84249811241392e-08,41.946189,-87.806117
60636,4.16475607569596e-08,41.775739,-87.669064
60637,4.12560100027567e-08,41.781621,-87.599876
60638,4.76922781337007e-08,41.78143,-87.77052
60639,6.57791049577372e-09,41.920552,-87.756054
60640,2.8686210552586e-08,41.972872,-87.662604
60641,1.92821882163592e-08,41.946606,-87.746787
60643,1.20129720122903e-08,41.700273,-87.663267
60644,3.13926587740506e-09,41.880084,-87.756373
60645,5.13499618338729e-09,42.008558,-87.694735
60646,2.34114568277103e-07,41.993019,-87.759627
60647,8.9560562303939e-09,41.921215,-87.701028
60649,4.59812248597473e-09,41.76342,-87.565879
60651,4.26739540096866e-09,41.902093,-87.740857
60652,3.61255942804114e-09,41.747932,-87.714795
60653,4.72775107115009e-08,41.819962,-87.605984
60655,2.5631513954808e-07,41.694776,-87.703777
60660,1.65175949031952e-08,41.99111,-87.663076
60661,1.68783968374886e-08,41.88303,-87.644101
60666,9.06580610026574e-07,42.978324,-87.906354
60696,5.97703485541349e-09,41.8501,-87.65
60706,3.16221720387541e-07,41.964257,-87.816242
60707,4.62648471376204e-08,41.921853,-87.807282
60827,4.97362537367914e-07,41.649434,-87.633572
